own_occ,gross_area,total_value,gross_tax,bed_rms,full_bth,hlf_bth,tt_rms,kitchens,fireplaces,num_parking,floor_number,building_age,remodel_age,ac_quality,overall_condition_ranking,heat_type_rank,property_rank,zipcode_rank
0,802.0,492400.0,5701.99,2.0,2.0,0.0,4.0,1.0,0.0,0.0,1.0,135.0,7.0,1,3,5,2,2
1,802.0,519000.0,6010.02,2.0,2.0,0.0,4.0,1.0,0.0,0.0,3.0,135.0,7.0,1,3,5,2,2
1,660.0,489800.0,5671.88,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,135.0,7.0,1,3,5,2,2
0,3404.0,819400.0,9488.65,8.0,2.0,0.0,11.0,2.0,0.0,0.0,3.0,125.0,125.0,0,3,3,3,2
1,1025.0,571200.0,6614.49,2.0,2.0,0.0,5.0,1.0,0.0,0.0,1.0,9.0,9.0,1,3,5,2,2
1,654.0,456400.0,5285.11,1.0,1.0,0.0,3.0,1.0,0.0,0.0,2.0,9.0,9.0,0,3,5,2,2
0,2386.0,674600.0,7811.87,4.0,2.0,0.0,7.0,2.0,0.0,0.0,1.5,125.0,11.0,0,3,6,3,2
1,1209.0,537000.0,6218.46,2.0,1.0,0.0,6.0,1.0,0.0,0.0,1.5,125.0,11.0,0,4,6,1,2
0,977.0,464800.0,5382.38,2.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,10.0,10.0,1,3,5,2,2
1,974.0,483100.0,5594.29,2.0,1.0,0.0,6.0,1.0,0.0,0.0,2.0,10.0,10.0,1,3,5,2,2
1,1120.0,519200.0,6012.33,2.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,10.0,10.0,1,3,5,2,2
0,4948.0,1099900.0,12736.84,8.0,3.0,0.0,19.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,2
0,4716.0,1051100.0,12171.74,7.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,5,4,2
0,4894.0,1149800.0,13314.68,5.0,3.0,0.0,15.0,3.0,1.0,0.0,3.0,135.0,7.0,1,3,5,4,2
1,5418.0,1140400.0,13205.83,9.0,3.0,0.0,15.0,3.0,0.0,0.0,3.0,125.0,125.0,0,3,6,4,2
0,4532.0,1164500.0,13484.91,9.0,3.0,0.0,17.0,3.0,0.0,0.0,3.0,125.0,9.0,0,3,6,4,2
